name,wikipedia_url,wikidata_id,birth_date,death_date,cause_of_death,manner_of_death,age_status,minimum_lifespan_days,maximum_lifespan_days,possible_age_range,leaf_occupations
Meenakshi Thapa,https://en.wikipedia.org/wiki/Meenakshi_Thapar,Q441799,1984-10-04,2012-04-19,decapitation,,confirmed,10059,10059,"27 years, 198 days",singer
Monkey Black,https://en.wikipedia.org/wiki/Monkey_Black,Q16740843,1986-07-26,2014-04-30,,,confirmed,10140,10140,"27 years, 278 days",rapper
Slađa Guduraš,https://en.wikipedia.org/wiki/Sla%C4%91a_Gudura%C5%A1,Q18658532,1987-08-11,2014-12-10,traffic collision,,confirmed,9983,9983,"27 years, 121 days",singer
Viyan Peyman,https://en.wikipedia.org/wiki/Viyan_Peyman,Q61974918,1988,2015-04-06,injury,,possible,9592,9957,"26 years, 96 days to 27 years, 95 days",singer
Chelele,https://en.wikipedia.org/wiki/Chelele,Q122237728,1988,2016-01,,,possible,9862,10257,"27 years, 1 day to 28 years, 30 days",singer
Tomas Lowe,https://en.wikipedia.org/wiki/Tomas_Lowe,Q124313388,1988-05-01,2016-02-13,,,confirmed,10149,10149,"27 years, 288 days",bassist
Shot,https://en.wikipedia.org/wiki/Shot_(rapper),Q87711400,1989-12-01,2017-09-21,diabetic coma,natural causes,confirmed,10156,10156,"27 years, 294 days",rapper
Kim Jong-hyun,https://en.wikipedia.org/wiki/Jonghyun,Q484484,1990-04-08,2017-12-18,carbon monoxide poisoning,suicide,confirmed,10116,10116,"27 years, 254 days",singer-songwriter
Fredo Santana,https://en.wikipedia.org/wiki/Fredo_Santana,Q13107451,1990-07-04,2018-01-19,epilepsy,natural causes,confirmed,10061,10061,"27 years, 199 days",rapper; songwriter
Cha In-ha,https://en.wikipedia.org/wiki/Cha_In-ha,Q55734717,1992-07-15,2019-12-03,,,confirmed,10002,10002,"27 years, 141 days",singer
Kiing Shooter,https://en.wikipedia.org/wiki/Kiing_Shooter,Q79666066,1992-07-25,2020-05-05,COVID-19,natural causes,confirmed,10146,10146,"27 years, 285 days",rapper; songwriter
Benjamin Keough,https://en.wikipedia.org/wiki/Benjamin_Keough,Q17385637,1992-10-21,2020-07-12,,suicide,confirmed,10126,10126,"27 years, 265 days",singer
Sasa Klaas,https://en.wikipedia.org/wiki/Sasa_Klaas,Q104370664,1993-05-17,2021-03-05,aircraft crash,accidental death,confirmed,10154,10154,"27 years, 292 days",rapper
B. Smyth,https://en.wikipedia.org/wiki/B._Smyth,Q17149930,1992-03-12,2022-11-17,pulmonary fibrosis,natural causes,possible,11207,11207,"30 years, 250 days",rapper; songwriter
Wal,https://en.wikipedia.org/wiki/Walkie_(rapper),Q114363081,1995-05-24,2022-09-30,suicide by jumping from height,suicide,confirmed,9991,9991,"27 years, 129 days",rapper; singer-songwriter
Ryuchell,https://en.wikipedia.org/wiki/Ryuchell,Q24260049,1995-09-29,2023-07-12,hanging to death,suicide,confirmed,10148,10148,"27 years, 286 days",singer
MohBad,https://en.wikipedia.org/wiki/MohBad,Q119700248,1996-01-03,2023-09-12,,,confirmed,10114,10114,"27 years, 252 days",rapper; songwriter
Dutty Dior,https://en.wikipedia.org/wiki/Dutty_Dior,Q64413054,1996-11-30,2024-04-06,,,confirmed,9989,9989,"27 years, 128 days",rapper; songwriter
